Emotion,RGB1_R,RGB1_G,RGB1_B,RGB2_R,RGB2_G,RGB2_B,RGB3_R,RGB3_G,RGB3_B
Elaborate ,138,0,7 , 32,10,70 , 37,95,81  
Robust  ,0,0,0 , 138,0,7 , 112,11,1
Dynamic and Active , 138,0,7 , 0,0,0 , 242,100,1
Untamed , 138,0,7 , 0,0,0 , 14,57,21 
Fruitful , 112,11,1 , 149,60,53 , 215,144,92
Ethnic, 112,11,1 , 126,100,12 , 99,63,110
Elaborate ,138,112,12 , 112,11,1 , 106,51,135
Mellow  ,112,11,1 , 149,60,53 , 72,13,104 
Traditional,  149,78,29 , 112,11,1 , 53,21,3
Substantial ,112,116,72 , 112,11,1 , 0,0,0
Heavy and Deep ,112,11,1 , 112,41,3 , 0,0,0  
Old - Fashioned, 45,0,5 , 127,127,127 , 112,11,1
Untamed  ,51,73,18 , 112,11,1 , 33,36,10 
Dynamic and Active, 229,0,13 , 255,242,0 , 45,0,5
Placid ,89,55,8 , 145,111,93 , 45,0,5
Quiet and Sophisticated, 45,0,5 , 89,55,8 , 127,127,127
Wild  ,229,0,13 , 45,0,5 , 191,169,11 
Old - Fashioned , 45,0,5 , 127,127,127 , 112,11,1
Dignified ,45,0,5 , 127,127,127 , 4,36,65
Untamed ,126,100,12 , 138,0,7 , 45,0,5  
Serious ,45,0,5 , 112,41,3 , 26,9,42
Strong and Robust,  45,0,5 , 82,82,82 , 5,11,48 
Dazzling ,229,0,13 , 255,127,0 , 255,242,63
Flamboyant, 255,127,0 , 212,0,57 , 255,242,0
Forceful ,229,0,13 , 255,127,0 , 255,242,0
Abundant ,255,127,0 , 166,151,51 , 227,26,42 
Tropical , 212,0,57 , 255,127,0 , 0,86,48
Casual, 255,127,0 , 255,242,124 , 78,181,135
Enjoyable, 255,127,0 , 255,242,0 , 103,195,183  
Lively, 255,127,0 , 255,255,255 , 26,67,155
Delicious , 255,127,0 , 149,78,29 , 253,192,145 
Aromatic ,242,100,1 , 253,192,145 , 150,58,4
Delicious, 227,26,42 , 242,100,1 , 149,60,53
Luxurious ,138,0,7 , 99,63,110 , 242,100,1
Bright ,229,0,13 , 242,242,242 , 242,100,1 
Abundant,  227,26,42 , 191,169,11 , 242,100,1
Dynamic and Active, 227,26,42 , 26,26,26 , 242,100,1
Enjoyable ,242,100,1 , 255,242,63 , 78,181,135  
Rich, 242,100,1 , 227,26,42 , 126,58,88
Untamed,  242,100,1 , 45,0,5 , 89,55,8 
Delicious, 255,242,124 , 253, 166 , 74 , 254,230,194
Merry ,251,103,89 , 255,242,124 , 153,166,74
Bright ,229,0,13 , 255,255,255 , 153,166,74
Friendly,  153,166,74 , 255,255,255 , 255,242,63 
Open  ,153,166,74 , 255,242,124 , 153,215,179
Lively ,229,0,13 , 153,166,74 , 26,67,155
Lighthearted, 153,166,74 , 255,250,184 , 116,196,118  
Amusing ,153,166,74 , 145,209,127 , 248,117,157
Healthy , 153,166,74 , 255,250,184 , 103,195,183 
Sweet ,251,167,89 , 254,230,194 , 253,192,145
Cheerful, 177,137,193 , 253,192,145 , 255,242,124
Domestic ,253,192,145 , 234,124,104 , 208,180,137
Restful  ,253,192,145 , 255,250,184 , 171,181,136 
Lighthearted,  253,192,145 , 255,250,184 , 166,151,51
Intimate ,254,230,194 , 253,192,145 , 215,144,92
Sunny, 253,192,145 , 254,230,194 , 173,219,93  
Free ,253,192,145 , 255,250,184 , 153,215,179
Friendly , 253,192,145 , 255,250,184 , 179,221,61 
Soft ,251,167,89 , 255,255,255 , 254,230,194
Intimate, 254,230,194 , 215,144,92 , 208,194,142
Mild ,254,230,194 , 208,180,137 , 234,124,104
Domestic,  251,167,89 , 254,230,194 , 171,181,136 
Sunny  ,253,192,145 , 254,230,194 , 173,219,93
Charming, 251,174,193 , 254,230,194 , 204,236,232
Dreamy ,254,230,194 , 191,230,200 , 234,216,227  
Delicate, 215,188,188 , 254,230,194 , 222,222,222
Feminine , 215,188,188 , 254,230,194 , 207,179,215 
Agreeable to the touch ,208,180,137 , 208,194,142 , 255,250,184
Smooth, 242,242,242 , 208,180,137 , 215,144,92
Generous, 208,180,137 , 234,124,104 , 149,78,29
Amiable  ,208,180,137 , 255,255,255 , 208 , 194 , 142
Intimate  ,208,180,137 , 254,230,194 , 208,194,142
Pleasant ,254,230,194 , 208,180,137 , 138,101,97
Gentle ,208,180,137 , 242,242,242 , 204,236,232  
Dry, 208,180,137 , 254,230,194 , 222,222,222
Mild , 208,180,137 , 254,230,194 , 215,188,188 
Intimate, 253,192,145 , 215,144,92 , 253,217,205
Pleasant, 251,167,89 , 253,217,205 , 215,144,92
Calm ,149,78,29 , 210,168,159 , 215,144,92
Amiable,  254,230,194 , 208,180,137 , 215,144,92 
Natural , 215,144,92 , 166,151,51 , 208,194,142
Gentple ,138,101,97 , 215,144,92 , 208,194,142
Wholesome, 215,144,92 , 255,250,184 , 171,181,136  
Generous ,215,144,92 , 254,230,194 , 166,151,51
Domestic , 215,144,92 , 254,230,194 , 103,186,116 
Calm ,145,111,93 , 208,194,142 , 130,99,61
Provincial ,166,151,51 , 138,112,12 , 145,111,93
Placid, 89,55,8 , 145,111,93 , 45,0,5
Modest , 145,111,93 , 222,222,222 , 133,95,104 
Chic  ,186,186,186 , 145,111,93 , 82,82,82
Subtle and Mysterious, 145,111,93 , 127,127,127 , 51,51,51
Aqueous ,145,111,93 , 166,181,183 , 98,116,114  
Simple  Quiet and Elegant, 145,111,93 , 161,161,161 , 222,222,222
Sober  ,130,99,61 , 82,82,82 , 145, 111 , 92
Calm ,149,78,29 , 210,168,159 , 215,144,92
Aromatic ,112,11,1 , 166,151,51 , 149,78,29
Old - Fashioned ,105,0,51 , 149,78,29 , 53,21,3
Simple  Quiet and Elegant  ,149,78,29 , 161,161,161 , 138,112,12 
Classic , 112,41,3 , 149,78,29 , 126,100,12
Provincial, 149,78,29 , 138,112,12 , 82,82,82
Diligent ,149,78,29 , 145,111,93 , 53,21,3  
Traditional, 89,55,8 , 149,78,29 , 5,11,48
Rustic, 112,41,3 , 149,78,29 , 126,100,12 
Delicious, 150,58,4 , 208,180,137 , 255,127,0
Rustic ,53,32,6 , 150,58,4 , 126,100,12
Untamed ,150,58,4 , 227,26,42 , 89,55,8
Aromatic ,112,41,3 , 150,58,4 , 215,144,92 
Practical ,150,58,4 , 45,0,5 , 112,116,72
Grant ,191,169,11 , 150,58,4 , 0,0,0
Pastoral, 150,58,4 , 166,151,51 , 126,100,12  
Traditional, 32,10,70 , 150,58,4 , 51,73,18
Sturdy, 5,11,48 , 150,58,4 , 0,0,0 
Pastoral, 215,144,92 , 138,112,12 , 112,41,3
Rustic, 191,169,11 , 150,58,4 , 112,41,3
Substantial, 112,11,1 , 191,169,11 , 112,41,3
Aromatic, 149,78,29 , 208,180,137 , 112,41,3 
Sturdy ,112,41,3 , 150,58,4 , 0,0,0
Placid ,145,111,93 , 127,127,127 , 112,41,3  
Conservative, 112,41,3 , 130,99,61 , 1,24,10
Heavy and Deep, 5,11,48 , 112,41,3 , 26,26,26 
Traditional ,53,21,3 , 112,11,1 , 149,78,29
Sturdy ,53,21,3 , 149,78,29 , 89,55,8
Untamed, 53,21,3 , 229,0,13 , 0,0,0
Practical, 138,101,97 , 112,41,3 , 53,21,3 
Conservative, 53,21,3 , 145,111,93 , 53,32,6
Heavy and Deep ,53,21,3 , 112,41,3 , 26,26,26  
Sound, 53,21,3 , 130,99,61 , 51,73,18
Strong and Robust ,53,21,3 , 82,82,82 , 0,0,0
Quiet and Sophisticated, 53,21,3 , 138,112,12 , 82,82,82 
Vivid ,212,0,57 , 255,127,0 , 255,242,0
Showy ,95,35,141 , 255,242,0 , 212,0,57
Bold ,255,242,0 , 229,0,13 , 0,0,0
Flamboyant, 229,0,13 , 255,242,0 , 17,147,82 
Dazzling ,255,127,0 , 95,35,141 , 255,242,0
Dynamic, 212,0,57 , 255,242,0 , 0,0,0  
Sporty, 255,242,0 , 255,255,255 , 26,67,155
Lively ,229,0,13 , 12,32,120 , 255,242,0
Intense ,95,35,141 , 255,242,0 , 0,0,0 
Hot ,229,0,13 , 191,169,11 , 112,41,3
Rich, 191,169,11 , 138,0,7 , 112,41,3
Substantial, 112,11,1 , 191,169,11 , 112,41,3
Ethnic ,138,0,7 , 5,60,88 , 191,169,11 
Mature149,60,53 , 73,0,35 , 191,169,11
Luxurious, 138,0,7 , 191,169,11 , 32,10,70  
Extravagant, 105,0,51 , 106,51,135 , 191,169,11
Decorative ,212,0,57 , 191,169,11 , 95,35,141
Gorgeous ,105,0,51 , 191,169,11 , 72,13,104 
Cheerful ,251,103,89 , 255,242,63 , 251,167,89
Enjoyable, 255,127,0 , 255,242,63 , 78,181,135
Showyl ,229,0,13 , 255,242,63 , 106,51,135
Friendly, 253,192,145 , 255,250,184 , 255,242,63 
Pretty ,255,242,63 , 248,117,157 , 78,181,135
Casual, 229,0,13 , 255,242,63 , 57,89,153  
Youthful, 255,242,63 , 255,255,255 , 179,221,61
Open ,255,242,63 , 255,255,255 , 78,181,135
Young ,116,196,118 , 255,242,63 , 26,67,155 
Cheerful, 253,192,145 , 251,103,89 , 255,242,124
Cute ,248,117,157 , 255,242,124 , 145,209,127
Merry ,251,103,89 , 255,242,124 , 116,196,118
Healthy, 153,166,74 , 255,255,255 , 255,242,124 
Childlike, 251,167,89 , 255,242,124 , 153,216,212
Open ,153,166,74 , 255,242,124 , 153,215,179  
Citrus, 255,242,124 , 103,186,116 , 192,230,184
Youthful, 255,242,124 , 255,255,255 , 116,196,118
Young, 78,181,135 , 255,242,63 , 128,166,206 
Gentle, 208,194,142 , 255,250,184 , 208,180,137
Friendly, 253,192,145 , 255,250,184 , 255,242,63
Generous, 234,124,104 , 251,167,89 , 255,250,184
Free ,253,192,145 , 255,250,184 , 173,219,93 
Dreamy, 251,174,193 , 255,250,184 , 204,236,232
Open ,153,166,74 , 255,250,184 , 116,196,118  
Wholesome, 166,151,51 , 255,250,184 , 171,181,136
Plain ,255,250,184 , 171,181,136 , 186,186,186
Peaceful,  91,165,159 , 255,250,184 , 153,193,151 
Restful ,253,192,145 , 254,230,194 , 208,194,142
Intimate ,215,144,92 , 208,194,142 , 254,230,194
Pleasant ,234,124,104 , 208,194,142 , 215,144,92
Plain ,208,194,142 , 230,245,164 , 171,181,136 
Natural, 166,151,51 , 208,194,142 , 140,174,67
Friendly, 215,144,92 , 208,194,142 , 144,193,156  
Tranquil ,208,194,142 , 192,230,184 , 153,193,151
Simple and Appealing, 208,194,142 , 140,174,67 , 112,116,72
Dry  ,208,194,142 , 186,186,186 , 130,99,61 
Intimate ,166,151,51 , 215,144,92 , 208,194,142
Wholesome ,215,144,92 , 255,250,184 , 215,144,92
Simple and Appealing, 166,151,51 , 255,250,184 , 222,222,222
Restful, 242,100,1 , 208,194,142 , 166,151,51 
Calm, 208,194,142 , 166,151,51 , 130,99,61
Natural, 166,151,51 , 171,181,136 , 140,174,67  
Interesting, 166,151,51 , 47,105,70 , 32,10,70
Provincial, 166,151,51 , 112,116,72 , 138,112,12
Pastoral  ,150, 58 , 4 , 166,151,51 , 126,100,12 
Calm ,208,180,137 , 215,144,92 , 130,99,61
Nostalgic, 149,78,29 , 210,168,159 , 130,99,61
Conservative, 112,41,3 , 130,99,61 , 51,73,18
Dry, 208,194,142 , 186,186,186 , 130,99,61 
Japanese, 138,101,97 , 208,180,137 , 130,99,61
Sound ,51,51,51 , 130,99,61 , 10,21,82  
Sober ,186,186,186 , 130,99,61 , 127,127,127
Subtle and Mysterious, 130,99,61 , 51,51,51 , 127,127,127
Dapper,  4,36,65 , 130,99,61 , 0,0,0 
Pastoral ,215,144,92 , 138,112,12 , 112,41,3
Elaborate, 112,11,1 , 89,55,8 , 106,51,135
Old-fashioned ,112,11,1 , 138,112,12 , 26,26,26
Nostalgic, 234,124,104 , 73,0,35 , 138,112,12 
Diligent, 138,112,12 , 126,58,88 , 1,47,45
Mellow ,105,0,51 , 138,112,12 , 32,10,70  
Provincial ,145,111,93 , 186,186,186 , 138,112,12
Simple  Quiet and Elegant, 149,78,29 , 161,161,161 , 138,112,12
Quiet and Sophisticated, 53,21,3 , 138,112,12 , 82,82,82 
Extravagant ,138,0,7 , 126,100,12 , 112,41,3
Elaborate,  126,100,12 , 105,0,51 , 40,0,24
Gorgeous ,126,100,12 , 138,0,7 , 32,10,70
Decorative ,227,26,42 , 126,100,12 , 72,13,104 
Ethnic, 112,11,1 , 126,100,12 , 99,63,110
Wild ,138,0,7 , 126,100,12 , 89,55,8  
Pastoral, 166,151,51 , 126,100,12 , 140,174,67
Rustic ,126,100,12 , 150,58,4 , 53,32,6
Bitterl , 112,41,3 , 126,100,12 , 51,51,51 
Tasteful ,89,55,8 , 138,101,97 , 32,10,70
Sturdy , 53,21,3 , 149 , 78, 29 , 89,55,8
Untamed, 89,55,8 , 0,0,0 , 73,114,26
Plaiced, 89,55,8 , 130,99,61 , 51,51,51 
Quiet and Sophisticated ,45,0,5 , 89,55,8 , 127,127,127
Old-fashioned, 73,0,35 , 138,112,12 , 89,55,8  
Bitter, 89,55,8 , 126,100,12 , 1,24,10
Traditional ,53,21,3 , 89,55,8 , 32,10,70
Conservative,  127,127,127 , 89,55,8 , 5,11,48 
Tasteful, 105,0,51 , 149,78,29 , 53,32,6
Rustic,  126,100,12 , 150,58,4 , 53,32,6
Heavy and Deep ,53,32,6 , 112,11,1 , 5,11,48
Quiet and Sophisticated, 45,0,5 , 130,99,61 , 53,32,6 
Bitter, 26,26,26 , 126,100,12 , 53,32,6
Serious ,0,0,0 , 53,32,6 , 112,41,3  
Placid, 53,32,6 , 161,161,161 , 1,22,23
Dapper ,126,100,12 , 130,99,61 , 10,21,82
Strong and Robust,  53,32,6 , 127,127,127 , 26,26,26 
Enjoyable ,255,127,0 , 255,242,0 , 140,201,25
Festive,  229,0,13 , 255,255,255 , 140,201,25
Flamboyant ,255,127,0 , 140,201,25 , 212,0,57
Healthy, 255,242,0 , 255,255,255 , 140,201,25 
Open ,255,242,0 , 255,250,184 , 140,201,25
Amusing 248,117,157 , 95,35,141 , 140,201,25  
Fresh, 140,201,25 , 255,255,255 , 192,230,184
Clean and Fresh, 140,201,25 , 255,255,255 , 128,166,206
Striking ,212,0,57 , 0,0,0 , 140,201,25 
Lighthearted ,215,144,92 , 255,250,184 , 115,184,29
Natural,  149,78,29 , 208,180,137 , 115,184,29
Untamed ,138,0,7 , 115,184,29 , 53,21,3
Wholesome ,166,151,51 , 255,255,255 , 115,184,29 
Interesting ,251,167,89 , 99,63,110 , 115,184,29
Ethnic, 126,58,88 , 126,100,12 , 115,184,29  
Calm, 255,250,184 , 115,184,29 , 138,112,12
Quiet, 115,184,29 , 222,222,222 , 103,124,100
Artistic, 222,222,222 , 115,184,29 , 82,82,82 
Sweet - Sour ,251,167,89 , 179,221,61 , 255,242,63
Cute  ,248,117,157 , 255,250,184 , 179,221,61
Bright ,255,242,63 , 229,0,13 , 179,221,61
Youthful, 255,242,63 , 255,255,255 , 179,221,61 
Friendly, 253,192,145 , 255,250,184 , 179,221,61
Citrus, 173,219,93 , 255,242,0 , 179,221,61  
Free ,179,221,61 , 255,250,184 , 153,215,179
Fresh ,179,221,61 , 255,255,255 , 128,166,206
Steady ,230,245,164 , 179,221,61 , 78,181,135 
Sweet - Sour, 250 , 250 , 184 , 251,167,89 , 173,219,93
Free , 215,144,92 , 255,250,184 , 173,219,93
Healthy ,253,192,145 , 254,230,194 , 173,219,93
Tranquil ,173,219,93 , 255,250,184 , 153,193,151 
Citrus ,173,219,93 , 255,242,0 , 230,245,164
Lighthearted, 153,166,74 , 173,219,93 , 255,250,184  
Fresh, 173,219,93 , 78,181,135 , 204,236,232
Clean and Fresh, 173,219,93 , 255,255,255 , 78,181,135
Youthful ,128,166,206 , 173,219,93 , 103,195,183 
Innocent ,253,217,205 , 255,255,255 , 230,245,164
Sunny, 253,192,145 , 254,230,194 , 230,245,164
Sweet - Sour ,230,245,164 , 251,167,89 , 191,230,200
Lightl ,255,250,184 , 255,255,255 , 230,245,164 
Soft ,230,245,164 , 253,217,205 , 217,228,228
Emotional, 234,216,227 , 217,228,228 , 230,245,164  
Plain ,208,194,142 , 230,245,164 , 171,181,136
Tranquil, 230,245,164 , 153,193,151 , 204,236,232
Steady, 230,245,164 , 179,221,61 , 78,181,135 
Soft, 210,168,159 , 242,242,242 , 171,181,136
Restful,  254,230,194 , 253,192,145 , 171,181,136
Domestic ,251,167,89 , 255,250,184 , 171,181,136
Pastoral, 166,151,51 , 140,174,67 , 171,181,136 
Wholesome, 215,144,92 , 255,250,184 , 171,181,136
Tranquil, 254,230,194 , 171,181,136 , 186,186,186  
Plain ,171,181,136 , 242,242,242 , 166,181,183
Natural ,166,151,51 , 171,181,136 , 140,174,67
Interesting ,165,123,177 , 145,111,93 , 171,181,136 
Pastoral, 191,169,11 , 208,194,142 , 96,122,38
Rustic, 112,41,3 , 149,78,29 , 96,122,38
Wild ,45,0,5 , 229,0,13 , 96,122,38
Simple Quiet and Elegant ,138,112,12 , 186,186,186 , 96,122,38 
Ethnic, 251,167,89 , 99,63,110 , 96,122,38
Mature ,72,13,104 , 138,0,7 , 96,122,38  
Japanese ,99,63,110 , 242,242,242 , 96,122,38
Quiet and Sophisticated ,186,186,186 , 51,51,51 , 96,122,38
Delignet, 53,32,6 , 96,122,38 , 26,26,26 
Mature ,191,169,11 , 227,26,42 , 73,114,26
Rich ,138,0,7 , 191,169,11 , 73,114,26
Elaborate ,72,13,104 , 73,114,26 , 0,0,0
Pastoral, 150,58,4 , 166,151,51 , 73,114,26 
Untamed ,53,21,3 , 73,114,26 , 26,26,26
Complex ,187,45,105 , 12,32,120 , 73,114,26  
Natural ,230,245,164 , 140,174,67 , 73,114,26
Grand ,103,186,116 , 73,114,26 , 5,60,88
Heavy and Deep ,73,114,26 , 186,186,186 , 0,0,0 
Wild, 32,10,70 , 191,169,11 , 51,73,18
Ethnic ,32,10,70 , 227,26,42 , 51,73,18
Untamed ,53,21,3 , 138,0,7 , 51,73,18
Pastoral ,149,78,29 , 171,181,136 , 51,73,18 
Tasteful ,149,60,53 , 51,73,18 , 145,111,93
Traditional, 32,10,70 , 150,58,4 , 51,73,18  
Subtle and Mysterious,115,95,108 , 82,82,82 , 51,73,18
Quiet and Sophisticated ,51,73,18 , 138,112,12 , 51,51,51
Conservative, 112,41,3 , 130,99,61 , 51,73,18 
Diligent, 112,41,3 , 150,58,4 , 33,36,10
Deep ,32,10,70 , 138,112,12 , 33,36,10
Untamed ,51,73,18 , 112,11,1 , 33,36,10
Practical, 53,21,3 , 145,111,93 , 33,36,10 
Splendid ,89,55,8 , 130,99,61 , 33,36,10
Masculine ,33,36,10 , 127,127,127 , 32,104,113  
Traditional, 138,112,12 , 112,41,3 , 33,36,10  
Solemn ,33,36,10 , 161,161,161 , 5,11,48
Serious ,53,21,3 , 82,82,82 , 33,36,10 
Vigorous, 229,0,13 , 255,242,0 , 17,147,82
Livery ,229,0,13 , 26,67,155 , 17,147,82
Provocative, 212,0,57 , 72,13,104 , 17,147,82
Vivid, 212,0,57 , 17,147,82 , 255,242,0 
Flamboyant, 212,0,57 , 255,127,0 , 17,147,82
Active ,229,0,13 , 0,0,0 , 17,147,82  
Steady, 230,245,164 , 140,201,25 , 17,147,82  
Showy ,255,242,124 , 17,147,82 , 95,35,141
Dynamic, 17,147,82 , 255,242,0 , 0,0,0 
Youthful ,140,201,25 , 255,242,124 , 52,156,83
Flamboyant ,212,0,57 , 255,242,0 , 52,156,83
Dynamic ,255,242,0 , 52,156,83 , 0,0,0
Fresh ,52,156,83 , 255,250,184 , 145,209,127 
Young ,52,156,83 , 255,242,124 , 57,89,153
Tropical, 187,45,105 , 0,0,0 , 52,156,83  
Clean and Fresh ,52,156,83 , 255,255,255 , 153,215,179  
Relaxed ,171,181,136 , 52,156,83 , 14,57,21
Steady, 52,156,83 , 222,222,222 , 10,21,82 
Lighthearted, 153,166,74 , 255,250,184 , 116,196,118
Enjoyable ,251,103,89 , 255,242,124 , 116,196,118
Merry, 248,117,157 , 255,242,0 , 116,196,118
Open ,255,250,184 , 255,242,63 , 116,196,118 
Bright, 229,0,13 , 249,223,226 , 116,196,118
Showy, 229,0,13 , 255,242,0 , 116,196,118  
Fresh, 255,250,184 , 173,219,93 , 116,196,118  
Youthful, 116,196,118 , 255,255,255 , 128,166,206
Provocative, 212,0,57 , 116,196,118 , 72,13,104 
Free ,173,219,93 , 255,250,184 , 145,209,127
Open ,254,230,194 , 255,242,124 , 145,209,127
Cute, 251,103,89 , 255,242,124 , 145,209,127
Fresh and Young ,145,209,127 , 192,230,184 , 255,255,255 
Fresh, 52,156,83 , 255,250,184 , 145,209,127
Steady ,255,250,184 , 145,209,127 , 57,89,153  
Pure and Simple ,207,179,215 , 255,255,255 , 145,209,127  
Refreshing, 145,209,127 , 255,255,255 , 128,166,206
Progressive, 145,209,127 , 242,242,242 , 51,51,51 
Charming, 253,217,205 , 255,255,255 , 192,230,184
Simple, 249,223,226 , 222,222,222 , 192,230,184
Innocent ,251,174,193 , 192,230,184 , 253,217,205
Neat ,192,230,184 , 255,255,255 , 191,230,200 
Citrus, 255,242,124 , 103,186,116 , 192,230,184
Fresh ,140,201,25 , 255,255,255 , 192,230,184  
Fresh and Young ,255,255,255 , 192,230,184 , 153,215,179  
Clear ,192,230,184 , 255,255,255 , 153,216,212
Quiet ,192,230,184 , 153,194,181 , 116,139,116 
Supple ,210,168,159 , 255,255,255 , 153,193,151
Natural, 171,181,136 , 255,250,184 , 153,193,151
Domestic ,253,192,145 , 254,230,194 , 153,193,151
Tranquil, 153,193,151 , 254,230,194 , 222,222,222 
Simple and Appealing  ,208,194,142 , 153,193,151 , 186,186,186
Peaceful ,153,193,151 , 116,139,116 , 186,186,186  
Pure and Simple , 153,193,151 , 242,242,242 , 153,215,179  
Plain, 171,181,136 , 153,193,151 , 230,245,164
Crystalline ,255,255,255 , 153,193,151 , 179,204,206 
Peaceful ,254,230,194 , 222,222,222 , 103,186,116
Citrus, 255,242,124 , 103,186,116 , 192,230,184
Healthy , 215,144,92 , 255,250,184 , 103,186,116
Fresh ,173,219,93 , 230,245,164 , 103,186,116 
Tranquil ,192,230,184 , 103,186,116 , 116,139,116
Neat ,103,186,116 , 255,255,255 , 191,230,200  
Fresh and Young, 103,186,116 , 255,255,255 , 153,215,179  
Grand, 103,186,116 , 73,114,26 , 5,60,88
Western ,103,186,116 , 234,216,227 , 123,150,181 
Peaceful ,103,124,100 , 208,194,142 , 161,161,161
Fashionable ,115,95,108 , 166,181,183 , 103,124,100
