rgb1,rgb2,rgb3,emotion
0.6745098039215687,0.1843137254901961,0.4588235294117647,excited
0.7529411764705882,0.2627450980392157,0.984313725490196,joyful
0.7647058823529411,0.403921568627451,0.03529411764705882,depressed
0.8274509803921568,0.08235294117647059,0.9490196078431372,amused
0.1411764705882353,0.3411764705882353,0.27450980392156865,disappointed
0.8470588235294118,0.34509803921568627,0.5490196078431373,inspired
0.22745098039215686,0.7568627450980392,0.9019607843137255,joyful
0.15294117647058825,0.3411764705882353,0.6823529411764706,elated
0.34509803921568627,0.3176470588235294,0.6470588235294118,gloomy
0.09803921568627451,0.30196078431372547,0.2823529411764706,elated
0.03529411764705882,0.580392156862745,0.45098039215686275,angry
0.8156862745098039,0.9529411764705882,0.7725490196078432,sad
0.996078431372549,0.30980392156862746,0.6862745098039216,proud
0.7529411764705882,0.32156862745098036,0.38823529411764707,depressed
0.8470588235294118,0.6941176470588235,0.9529411764705882,hopeful
0.11372549019607843,0.5764705882352941,0.5764705882352941,excited
0.5568627450980392,0.6549019607843137,0.12549019607843137,depressed
0.7568627450980392,0.03529411764705882,0.7254901960784313,bitter
0.4980392156862745,0.12549019607843137,0.12156862745098039,depressed
0.792156862745098,0.9568627450980391,0.592156862745098,melancholy
0.6392156862745098,0.996078431372549,0.796078431372549,fearful
0.44705882352941173,0.7176470588235294,0.10980392156862745,happy
0.13333333333333333,0.5019607843137255,0.5019607843137255,amused
0.6431372549019607,0.20784313725490194,0.5215686274509804,grateful
0.14901960784313725,0.9098039215686274,0.9568627450980391,joyful
0.06666666666666667,0.30980392156862746,0.5176470588235293,angry
0.4117647058823529,0.16470588235294117,0.7294117647058823,amused
0.12156862745098039,0.47058823529411764,0.00392156862745098,inspired
0.2549019607843137,0.9058823529411765,0.6627450980392157,proud
0.22352941176470587,0.13725490196078433,0.4,frustrated
0.4666666666666667,0.043137254901960784,0.6823529411764706,content
0.32156862745098036,0.3568627450980392,0.5019607843137255,excited
0.5568627450980392,0.38823529411764707,0.20784313725490194,frustrated
0.5490196078431373,0.4745098039215686,0.6666666666666666,bitter
0.32941176470588235,0.796078431372549,0.26666666666666666,happy
0.023529411764705882,0.7686274509803921,0.1843137254901961,joyful
0.4980392156862745,0.9568627450980391,0.5137254901960784,anxious
0.8,0.39215686274509803,0.7058823529411764,gloomy
0.9098039215686274,0.3058823529411765,0.5607843137254902,angry
0.580392156862745,0.8901960784313725,0.7294117647058823,depressed
0.09019607843137255,0.8117647058823529,0.5529411764705883,anxious
0.4588235294117647,0.3333333333333333,0.18823529411764706,inspired
0.19215686274509802,0.27058823529411763,0.6627450980392157,content
0.6392156862745098,0.7529411764705882,0.37254901960784315,grateful
0.7725490196078432,0.3686274509803922,0.0,disappointed
0.44313725490196076,0.6980392156862745,0.1411764705882353,excited
0.6352941176470588,0.18823529411764706,0.36470588235294116,angry
0.5137254901960784,0.38431372549019605,0.16470588235294117,anxious
0.803921568627451,0.4392156862745098,0.9058823529411765,grateful
0.5843137254901961,0.788235294117647,0.4980392156862745,anxious
0.0,0.5411764705882353,0.44705882352941173,anxious
0.16862745098039217,0.7294117647058823,0.4980392156862745,gloomy
0.09019607843137255,0.7333333333333333,0.5098039215686274,disappointed
0.4745098039215686,0.38431372549019605,0.24313725490196078,anxious
0.6392156862745098,0.8705882352941177,0.4823529411764706,hopeful
0.7647058823529411,0.32156862745098036,0.6823529411764706,disappointed
0.8901960784313725,0.580392156862745,0.8196078431372549,proud
0.19607843137254902,0.6078431372549019,0.054901960784313725,angry
0.16078431372549018,0.22745098039215686,0.7568627450980392,melancholy
0.1411764705882353,0.0392156862745098,0.33725490196078434,inspired
0.16862745098039217,0.40784313725490196,0.043137254901960784,amused
0.00784313725490196,0.2,0.3137254901960784,hopeful
0.12549019607843137,0.7137254901960784,0.5019607843137255,angry
0.14901960784313725,0.07450980392156863,0.6823529411764706,excited
0.16470588235294117,0.45098039215686275,0.7215686274509804,disappointed
0.7372549019607844,0.9098039215686274,0.30196078431372547,grateful
0.11764705882352941,0.09411764705882353,0.49019607843137253,happy
0.00784313725490196,0.011764705882352941,0.3686274509803922,amused
0.8862745098039215,0.4196078431372549,0.050980392156862744,fearful
0.4392156862745098,0.1568627450980392,0.2823529411764706,hopeful
0.07450980392156863,0.37254901960784315,0.2823529411764706,bitter
0.6039215686274509,0.7607843137254902,0.9725490196078431,amused
0.7058823529411764,0.2627450980392157,0.9254901960784314,content
0.2392156862745098,0.054901960784313725,0.3764705882352941,excited
0.01568627450980392,0.7647058823529411,0.9294117647058824,grateful
0.5450980392156862,0.9882352941176471,0.33725490196078434,excited
0.803921568627451,0.4745098039215686,0.42745098039215684,gloomy
0.29411764705882354,0.7215686274509804,0.06274509803921569,amused
0.596078431372549,0.615686274509804,0.5843137254901961,angry
0.43137254901960786,0.09803921568627451,0.8156862745098039,disappointed
0.7372549019607844,0.4745098039215686,0.4627450980392157,hopeful
0.4588235294117647,0.7411764705882353,0.3254901960784314,bitter
0.6313725490196078,0.40784313725490196,0.6274509803921569,sad
0.8941176470588235,0.984313725490196,0.984313725490196,amused
0.4745098039215686,0.27450980392156865,0.8352941176470589,proud
0.12156862745098039,0.050980392156862744,0.2784313725490196,hopeful
0.7215686274509804,0.596078431372549,0.30980392156862746,melancholy
0.16078431372549018,0.07058823529411765,0.1568627450980392,anxious
0.7137254901960784,0.8117647058823529,0.043137254901960784,content
0.6509803921568628,0.43529411764705883,0.36470588235294116,amused
0.9764705882352941,0.5058823529411764,0.8745098039215686,angry
0.4627450980392157,0.17254901960784313,0.8470588235294118,hopeful
0.49019607843137253,0.09411764705882353,0.2627450980392157,angry
0.8235294117647058,0.9372549019607843,0.011764705882352941,gloomy
0.9176470588235294,0.8,0.9019607843137255,proud
0.13725490196078433,0.8392156862745098,0.996078431372549,bitter
0.7411764705882353,0.7725490196078432,0.8431372549019608,angry
0.16862745098039217,0.12549019607843137,0.043137254901960784,fearful
0.40784313725490196,0.8313725490196078,0.5411764705882353,elated
0.7137254901960784,0.9215686274509803,0.6470588235294118,gloomy
0.49019607843137253,0.611764705882353,0.43529411764705883,grateful
0.9098039215686274,0.00784313725490196,0.10588235294117647,excited
0.8274509803921568,0.8509803921568627,0.592156862745098,inspired
